Region,Year,Air
Europe & Central Asia (IDA & IBRD countries),2010,26.59969418
Europe & Central Asia (IDA & IBRD countries),2011,26.33368942
Europe & Central Asia (IDA & IBRD countries),2012,25.36222079
Europe & Central Asia (IDA & IBRD countries),2013,24.86198725
Europe & Central Asia (IDA & IBRD countries),2014,24.04547776
Europe & Central Asia (IDA & IBRD countries),2015,25.12045017
Europe & Central Asia (IDA & IBRD countries),2016,23.97877768
Europe & Central Asia (IDA & IBRD countries),2017,24.07869299
European Union,2010,15.97908406
European Union,2011,16.15636937
European Union,2012,14.86924373
European Union,2013,14.39668788
European Union,2014,13.81144457
European Union,2015,13.9960792
European Union,2016,13.05569067
European Union,2017,13.0800302
North America,2010,9.263171058
North America,2011,9.630810585
North America,2012,8.914901076
North America,2013,8.641442144
North America,2014,8.142225682
North America,2015,7.973350547
North America,2016,7.321048084
North America,2017,7.311093663
Latin America & the Caribbean (IDA & IBRD countries),2010,21.07037187
Latin America & the Caribbean (IDA & IBRD countries),2011,21.52004806
Latin America & the Caribbean (IDA & IBRD countries),2012,20.45802841
Latin America & the Caribbean (IDA & IBRD countries),2013,19.78004796
Latin America & the Caribbean (IDA & IBRD countries),2014,18.39823316
Latin America & the Caribbean (IDA & IBRD countries),2015,17.75161854
Latin America & the Caribbean (IDA & IBRD countries),2016,16.69620206
Latin America & the Caribbean (IDA & IBRD countries),2017,16.7060344
Middle East & North Africa (IDA & IBRD countries),2010,50.35636957
Middle East & North Africa (IDA & IBRD countries),2011,48.44597241
Middle East & North Africa (IDA & IBRD countries),2012,48.99666745
Middle East & North Africa (IDA & IBRD countries),2013,50.15950526
Middle East & North Africa (IDA & IBRD countries),2014,49.41244326
Middle East & North Africa (IDA & IBRD countries),2015,54.71259307
Middle East & North Africa (IDA & IBRD countries),2016,54.63071276
Middle East & North Africa (IDA & IBRD countries),2017,54.10477709
South Asia (IDA & IBRD),2010,89.16764514
South Asia (IDA & IBRD),2011,90.56946604
South Asia (IDA & IBRD),2012,82.73166317
South Asia (IDA & IBRD),2013,84.690261
South Asia (IDA & IBRD),2014,83.06717057
South Asia (IDA & IBRD),2015,82.72487678
South Asia (IDA & IBRD),2016,81.98118027
South Asia (IDA & IBRD),2017,82.86952124
South Africa,2010,27.13858684
South Africa,2011,26.55787322
South Africa,2012,26.57708662
South Africa,2013,26.72926171
South Africa,2014,26.72221238
South Africa,2015,26.11297177
South Africa,2016,25.14041614
South Africa,2017,25.10220499
East Asia & Pacific,2010,51.9120112
East Asia & Pacific,2011,52.41693271
East Asia & Pacific,2012,48.05672835
East Asia & Pacific,2013,48.82717052
East Asia & Pacific,2014,44.84952702
East Asia & Pacific,2015,44.21893188
East Asia & Pacific,2016,39.52054218
East Asia & Pacific,2017,39.74995754
